"Precip_day","dayDate","vehicule_1_cadmin","vehicle_2_cadmin","usager_1_grav","Long","Lat","DayOfWeek","Day","Month","Year","Hour","FourHours","adresse","carr","year_quarter","MonthYear","TempMin","TempMax","Precip","DureeEnsol","Temp_max","Temp_min","Freq"
1.4,2013-03-13,"Voiture","Deux Roues > 125","Aucun Blessé",2.340196,48.895044,"Mardi",12,"Mars",2013,18,"16H-20H","227, RUE CHAMPIONNET","1_75118_4891","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2012-10-28,"Deux Roues > 125","Voiture","Blessé Léger",2.295581,48.873377,"Dimanche",28,"Octobre",2012,1,"00H-04H","PLACE CHARLES DE GAULLE","1_75108_2132","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-05-21,"Voiture","Aucun","Blessé Léger",2.362966,48.830044,"Mardi",21,"Mai",2013,1,"00H-04H","164, RUE DU CHATEAU DES",NA,"2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2012-10-15,"Vélo","Aucun","Blessé Léger",2.351036,48.82575,"Lundi",15,"Octobre",2012,9,"08H-12H","191, RUE DE TOLBIAC","1_75113_7104","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2013-03-13,"Voiture","Voiture","Aucun Blessé",2.37785,48.829117,"Mardi",12,"Mars",2013,19,"16H-20H","93, AVENUE DE FRANCE","1_75113_9682","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2012-06-25,"Voiture","Voiture","Blessé Léger",2.331045,48.858863,"Lundi",25,"Juin",2012,9,"08H-12H","QUAI VOLTAIRE","1_75107_4899","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.8,13,277
1.4,2012-10-15,"Voiture","Deux Roues 50-125","Blessé Hospitalisé",2.361617,48.870363,"Lundi",15,"Octobre",2012,1,"00H-04H","26, BOULEVARD DE MAGENTA",NA,"2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2012-10-15,"Voiture","Deux Roues > 125","Blessé Léger",2.379968,48.840217,"Dimanche",14,"Octobre",2012,15,"12H-16H","ECHANGEUR BERCY",NA,"2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2013-02-11,"Voiture","Aucun","Blessé Léger",2.289362,48.8539,"Lundi",11,"Février",2013,6,"04H-08H","PONT DE BIR HAKEIM","1_75116_1504","2013 Q1","Février 2013",1.3,6,37.4,64.6,8.9,1.6,277
1.4,2012-04-27,"Voiture","Deux Roues > 125","Blessé Léger",2.290884,48.883971,"Jeudi",26,"Avril",2012,19,"16H-20H","BD PERIPHERIQUE INTERIEU",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2012-04-27,"Vélo","Voiture","Blessé Léger",2.328313,48.846391,"Jeudi",26,"Avril",2012,13,"12H-16H","BOULEVARD RASPAIL","1_75106_4816","2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2013-03-13,"Vélo","Deux Roues 50-125","Blessé Léger",2.335494,48.867019,"Mardi",12,"Mars",2013,15,"12H-16H","47, RUE DES PETITS CHAMP","1_75101_5415","2013 Q1","Mars 2013",3,8.7,36.6,98.7,4.3,-3.8,277
1.4,2013-01-28,"Deux Roues 50-125","Aucun","Blessé Léger",2.36843,48.890276,"Lundi",28,"Janvier",2013,11,"08H-12H","BPI AUBERVILLIERS VILLET",NA,"2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,11.2,5.4,277
1.4,2013-01-28,"Voiture","Vélo","Aucun Blessé",2.31837,48.860439,"Lundi",28,"Janvier",2013,10,"08H-12H","15, AVENUE DE LA BOURDON","1_75107_2280","2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,11.2,5.4,277
1.4,2013-01-28,"Deux Roues 50-125","Aucun","Blessé Léger",2.367373,48.875378,"Lundi",28,"Janvier",2013,11,"08H-12H","37, RUE DE LA GRANGE AUX",NA,"2013 Q1","Janvier 2013",2.4,5.9,42.2,33.3,11.2,5.4,277
1.4,2012-06-25,"Vélo","Voiture","Aucun Blessé",2.287192,48.839507,"Lundi",25,"Juin",2012,9,"08H-12H","15, RUE DURANTON",NA,"2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.8,13,277
1.4,2012-10-28,"Voiture","Vélo","Aucun Blessé",2.298989,48.83787,"Samedi",27,"Octobre",2012,19,"16H-20H","92, RUE DE L ABBE GROULT","1_75115_2390","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-05-21,"Voiture","Deux Roues 50-125","Aucun Blessé",2.329471,48.841514,"Mardi",21,"Mai",2013,9,"08H-12H","206, BOULEVARD RASPAIL","1_75114_4854","2013 Q2","Mai 2013",9.1,16.7,111.2,114.6,12.7,11.2,277
1.4,2012-10-15,"Voiture","Deux Roues > 125","Aucun Blessé",2.354343,48.833328,"Dimanche",14,"Octobre",2012,15,"12H-16H","73, AVENUE DES GOBELINS","1_75113_7560","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,15.2,7.8,277
1.4,2012-06-25,"Voiture","Aucun","Aucun Blessé",2.379464,48.893108,"Lundi",25,"Juin",2012,8,"08H-12H","145, AVENUE DE FLANDRE","1_75119_9832","2012 Q2","Juin 2012",13.6,21.8,99.5,145.9,20.8,13,277
1.4,2013-04-04,"Voiture","Aucun","Blessé Hospitalisé",2.349374,48.889038,"Jeudi",4,"Avril",2013,1,"00H-04H","51, BOULEVARD BARBES",NA,"2013 Q2","Avril 2013",6.9,15.4,29.7,169.4,9.1,2.2,277
1.4,2012-04-27,"Deux Roues 50-125","Aucun","Blessé Léger",2.328245,48.890614,"Jeudi",26,"Avril",2012,19,"16H-20H","BD PERIPHERIQUE EXTERIEU",NA,"2012 Q2","Avril 2012",6.4,14.2,63.6,133.9,15,10.3,277
1.4,2012-10-28,"Voiture","Deux Roues 50-125","Blessé Hospitalisé",2.410849,48.857828,"Samedi",27,"Octobre",2012,20,"20H-00H","0, AVENUE CARTELLIER","1_75120_12104","2012 Q4","Octobre 2012",10.1,16,86.7,101.8,10.7,3.1,277
1.4,2013-02-11,"Voiture","Aucun","Blessé Hospitalisé",2.317221,48.889285,"Dimanche",10,"Février",2013,15,"12H-16H","103 BIS, RUE NOLLET","1_75117_3737","2013 Q1","Février 2013",1.3,6,37.4,64.6,8.9,1.6,277
1.4,2012-11-09,"Voiture","Aucun","Aucun Blessé",2.32969,48.89342,"Jeudi",8,"Novembre",2012,12,"12H-16H","221, RUE CHAMPIONNET","1_75118_4829","2012 Q4","Novembre 2012",6,10.3,43.8,38.2,12.2,5.5,277
